revenue
51.12
18836.978
1136.43
1561.53
146.07
14.98
3745.85
331.594
0.99
3
48.576
5.56
5.743
14
20
4.99
81.14
102.837
93.24
28.43
4
47.9
14.95
12.97
14.694
24.99
5.5
7
2.92
4.98
19.96
8.96
3
6.49
10
1.754
3
36.99
4.339
19.95
19.95
3
703.6
25.45
14.856
55.24
26.97
13.392
19.99
14.99
121.72
3.07
13
40
3
24
44.72025977
29.7
9.58
49.88
18
8.816
18.59
381.75
39.95
129.02
19.99
39.98
69.95
23.75
12.556
46.92
32.98
2.113
10
3
3.5
3
6.5
4.99
25
8.72
10
12
5
31.97
18.24
85
14.631
28.99
55
5.482
6.5
3
66.91
4.99
31
41.841
6
4.296
15.781
25
12
19.98
21
6.5
5
10
59.42
16.98
18.2
26.48
9.72
3.58
12.97
3.25
44.86
19.99
5
3.198
21.99
119.92
1.754
24.89
181.03
34.98
55.55
4.966
35.18
21.99
15
10.59
3
23.7
3
3.02
24.91
14
123.31
24.25
16.95
44.95
9.99
3
182.8
3
19.99
1.5
7.327080078
37.76
3
9.58
2.476
9.957
2.92
2.96
863.19
10.58
4.99
4.199
77.48
5.5
19.99
44.26
29.22
9
14.99
49.17
3.25
19.92
34.705
24
2.93
0.99
3.5
19.99
69.97
3.25
20.25
7.476
3.51
9.72
1.23
51.99
10.98
10.12
24
12
3.742
39.97
2.08
19.99
54.85
5
79.39
104.93
19.89
71.73
17.26
32.8
3
15
19
7.474959961
3
9.99
23.55
3
40.5
133.92
20
3
59.4
83.76
9.99
8.97
16
17.59
25
10.026
10
1.51
112.48
10
3
3.5
19.95
34.98
46.49
86.11
10
12.499
24.99
3
3.757
13.4117998
51.97
10
26.47
5
15
3.85
20
10
40
3.9
5
7.525299805
10
55
19.99
35.98
14.99
0.79
154.19829
44.99
15
10
18.98
9.99
29.94
49.99
7
30.5
25
10
12.7
17.79
20.97
3.714
10
11.97
6.2
20
9.99
7.301
170.85
34.94
11.91
7.99
7.99
38
51.46
9.811
37.922
109.93
10
2.25
15.698
57.47
93.83
94.2
6.85
6.602
51.87
15
10
45
19.8
37.19
1.49
20.64
6
10
18.22
7
84.79
31.04
10
19.95
12
0.6
3.72
165.71
8.98
50
9.96
23.69
40.54
38.88
20.23
10
50.5
5.93
11
5
31.95
